EntryNo,Date,Territory_key,Account_key,Details,Debit,Credit
29.1,"Monday, 22 January 2018",1,10,Payment - Credit Expenses,0,2394
42.1,"Tuesday, 30 January 2018",1,10,Payment - Credit Expenses,0,2828
59.1,"Wednesday, 7 February 2018",1,10,Payment - Credit Expenses,0,2388
60.1,"Wednesday, 7 February 2018",1,10,Payment - Credit Expenses,0,3000
63.1,"Monday, 12 February 2018",1,10,Payment - Credit Expenses,0,2100
66.1,"Wednesday, 14 February 2018",1,10,Payment - Credit Expenses,0,2920
70.1,"Friday, 16 February 2018",1,10,Payment - Credit Expenses,0,2206
78.1,"Tuesday, 20 February 2018",1,10,Payment - Credit Expenses,0,2638
84.1,"Monday, 26 February 2018",1,10,Payment - Credit Expenses,0,2396
102.1,"Sunday, 4 March 2018",1,10,Payment - Credit Expenses,0,2209
107.1,"Thursday, 8 March 2018",1,10,Payment - Credit Expenses,0,2169
108.1,"Thursday, 8 March 2018",1,10,Payment - Credit Expenses,0,2278
109.1,"Friday, 9 March 2018",1,10,Payment - Credit Expenses,0,2115
114.1,"Monday, 12 March 2018",1,10,Payment - Credit Expenses,0,2267
123.1,"Saturday, 17 March 2018",1,10,Payment - Credit Expenses,0,2602
125.1,"Sunday, 18 March 2018",1,10,Payment - Credit Expenses,0,2527
129.1,"Thursday, 22 March 2018",1,10,Payment - Credit Expenses,0,2092
150.1,"Monday, 2 April 2018",1,10,Payment - Credit Expenses,0,2522
152.1,"Wednesday, 4 April 2018",1,10,Payment - Credit Expenses,0,2157
158.1,"Friday, 6 April 2018",1,10,Payment - Credit Expenses,0,2806
159.1,"Sunday, 8 April 2018",1,10,Payment - Credit Expenses,0,2705
161.1,"Monday, 9 April 2018",1,10,Payment - Credit Expenses,0,2197
173.1,"Tuesday, 17 April 2018",1,10,Payment - Credit Expenses,0,2368
178.1,"Sunday, 22 April 2018",1,10,Payment - Credit Expenses,0,2285
180.1,"Sunday, 22 April 2018",1,10,Payment - Credit Expenses,0,2875
184.1,"Tuesday, 24 April 2018",1,10,Payment - Credit Expenses,0,2794
192.1,"Sunday, 29 April 2018",1,10,Payment - Credit Expenses,0,2005
198.1,"Monday, 30 April 2018",1,10,Payment - Credit Expenses,0,2587
205.1,"Friday, 4 May 2018",1,10,Payment - Credit Expenses,0,2248
206.1,"Friday, 4 May 2018",1,10,Payment - Credit Expenses,0,2805
215.1,"Sunday, 6 May 2018",1,10,Payment - Credit Expenses,0,2998
217.1,"Friday, 11 May 2018",1,10,Payment - Credit Expenses,0,2883
230.1,"Friday, 18 May 2018",1,10,Payment - Credit Expenses,0,2740
232.1,"Sunday, 20 May 2018",1,10,Payment - Credit Expenses,0,2128
235.1,"Friday, 25 May 2018",1,10,Payment - Credit Expenses,0,3164
240.1,"Monday, 28 May 2018",1,10,Payment - Credit Expenses,0,2548
242.1,"Tuesday, 29 May 2018",1,10,Payment - Credit Expenses,0,2746
253.1,"Friday, 1 June 2018",1,10,Payment - Credit Expenses,0,2099
263.1,"Tuesday, 5 June 2018",1,10,Payment - Credit Expenses,0,2679
264.1,"Tuesday, 5 June 2018",1,10,Payment - Credit Expenses,0,3148
272.1,"Thursday, 14 June 2018",1,10,Payment - Credit Expenses,0,2898
277.1,"Friday, 15 June 2018",1,10,Payment - Credit Expenses,0,2330
284.1,"Friday, 22 June 2018",1,10,Payment - Credit Expenses,0,3073
292.1,"Tuesday, 26 June 2018",1,10,Payment - Credit Expenses,0,2684
304.1,"Sunday, 1 July 2018",1,10,Payment - Credit Expenses,0,2474
311.1,"Tuesday, 3 July 2018",1,10,Payment - Credit Expenses,0,2498
318.1,"Monday, 9 July 2018",1,10,Payment - Credit Expenses,0,2493
322.1,"Tuesday, 10 July 2018",1,10,Payment - Credit Expenses,0,2678
327.1,"Saturday, 14 July 2018",1,10,Payment - Credit Expenses,0,2583
330.1,"Monday, 16 July 2018",1,10,Payment - Credit Expenses,0,3097
331.1,"Tuesday, 17 July 2018",1,10,Payment - Credit Expenses,0,2620
342.1,"Monday, 23 July 2018",1,10,Payment - Credit Expenses,0,2000
343.1,"Monday, 23 July 2018",1,10,Payment - Credit Expenses,0,2778
350.1,"Sunday, 29 July 2018",1,10,Payment - Credit Expenses,0,2500
368.1,"Friday, 3 August 2018",1,10,Payment - Credit Expenses,0,2039
375.1,"Tuesday, 7 August 2018",1,10,Payment - Credit Expenses,0,3102
376.1,"Wednesday, 8 August 2018",1,10,Payment - Credit Expenses,0,3160
378.1,"Thursday, 9 August 2018",1,10,Payment - Credit Expenses,0,3187
380.1,"Friday, 10 August 2018",1,10,Payment - Credit Expenses,0,2781
386.1,"Sunday, 12 August 2018",1,10,Payment - Credit Expenses,0,2147
402.1,"Friday, 24 August 2018",1,10,Payment - Credit Expenses,0,3108
406.1,"Monday, 27 August 2018",1,10,Payment - Credit Expenses,0,2998
411.1,"Wednesday, 29 August 2018",1,10,Payment - Credit Expenses,0,2997
413.1,"Thursday, 30 August 2018",1,10,Payment - Credit Expenses,0,2684
414.1,"Thursday, 30 August 2018",1,10,Payment - Credit Expenses,0,2992
423.1,"Saturday, 1 September 2018",1,10,Payment - Credit Expenses,0,2075
434.1,"Monday, 10 September 2018",1,10,Payment - Credit Expenses,0,2478
442.1,"Thursday, 13 September 2018",1,10,Payment - Credit Expenses,0,2999
451.1,"Sunday, 16 September 2018",1,10,Payment - Credit Expenses,0,2185
459.1,"Saturday, 22 September 2018",1,10,Payment - Credit Expenses,0,2503
461.1,"Tuesday, 25 September 2018",1,10,Payment - Credit Expenses,0,2831
462.1,"Tuesday, 25 September 2018",1,10,Payment - Credit Expenses,0,3099
481.1,"Monday, 1 October 2018",1,10,Payment - Credit Expenses,0,2302
482.1,"Monday, 1 October 2018",1,10,Payment - Credit Expenses,0,2311
484.1,"Tuesday, 2 October 2018",1,10,Payment - Credit Expenses,0,2748
493.1,"Wednesday, 10 October 2018",1,10,Payment - Credit Expenses,0,2784
506.1,"Monday, 15 October 2018",1,10,Payment - Credit Expenses,0,2214
507.1,"Monday, 15 October 2018",1,10,Payment - Credit Expenses,0,2255
511.1,"Wednesday, 17 October 2018",1,10,Payment - Credit Expenses,0,3042
520.1,"Wednesday, 24 October 2018",1,10,Payment - Credit Expenses,0,2596
526.1,"Saturday, 27 October 2018",1,10,Payment - Credit Expenses,0,2064
527.1,"Saturday, 27 October 2018",1,10,Payment - Credit Expenses,0,2460
548.1,"Monday, 5 November 2018",1,10,Payment - Credit Expenses,0,2490
552.1,"Wednesday, 7 November 2018",1,10,Payment - Credit Expenses,0,2727
555.1,"Thursday, 8 November 2018",1,10,Payment - Credit Expenses,0,2653
563.1,"Monday, 12 November 2018",1,10,Payment - Credit Expenses,0,2144
564.1,"Monday, 12 November 2018",1,10,Payment - Credit Expenses,0,2341
565.1,"Tuesday, 13 November 2018",1,10,Payment - Credit Expenses,0,2431
578.1,"Wednesday, 21 November 2018",1,10,Payment - Credit Expenses,0,2533
585.1,"Saturday, 24 November 2018",1,10,Payment - Credit Expenses,0,3079
586.1,"Sunday, 25 November 2018",1,10,Payment - Credit Expenses,0,2067
587.1,"Sunday, 25 November 2018",1,10,Payment - Credit Expenses,0,2309
604.1,"Sunday, 2 December 2018",1,10,Payment - Credit Expenses,0,3031
605.1,"Monday, 3 December 2018",1,10,Payment - Credit Expenses,0,2475
609.1,"Thursday, 6 December 2018",1,10,Payment - Credit Expenses,0,2747
617.1,"Monday, 10 December 2018",1,10,Payment - Credit Expenses,0,2595
618.1,"Tuesday, 11 December 2018",1,10,Payment - Credit Expenses,0,2584
621.1,"Friday, 14 December 2018",1,10,Payment - Credit Expenses,0,2946
633.1,"Friday, 21 December 2018",1,10,Payment - Credit Expenses,0,2004
639.1,"Tuesday, 25 December 2018",1,10,Payment - Credit Expenses,0,2411
643.1,"Friday, 28 December 2018",1,10,Payment - Credit Expenses,0,2622
669.1,"Wednesday, 2 January 2019",1,10,Payment - Credit Expenses,0,3188
670.1,"Friday, 4 January 2019",1,10,Payment - Credit Expenses,0,2058
673.1,"Saturday, 5 January 2019",1,10,Payment - Credit Expenses,0,3058
681.1,"Monday, 14 January 2019",1,10,Payment - Credit Expenses,0,2017
681.1,"Monday, 14 January 2019",1,10,Payment - Credit Expenses,0,2371
688.1,"Tuesday, 22 January 2019",1,10,Payment - Credit Expenses,0,4190
701.1,"Wednesday, 30 January 2019",1,10,Payment - Credit Expenses,0,4949
718.1,"Thursday, 7 February 2019",1,10,Payment - Credit Expenses,0,4179
719.1,"Thursday, 7 February 2019",1,10,Payment - Credit Expenses,0,5250
722.1,"Tuesday, 12 February 2019",1,10,Payment - Credit Expenses,0,3675
725.1,"Thursday, 14 February 2019",1,10,Payment - Credit Expenses,0,5110
729.1,"Saturday, 16 February 2019",1,10,Payment - Credit Expenses,0,3861
738.1,"Wednesday, 20 February 2019",1,10,Payment - Credit Expenses,0,4617
743.1,"Tuesday, 26 February 2019",1,10,Payment - Credit Expenses,0,4193
761.1,"Monday, 4 March 2019",1,10,Payment - Credit Expenses,0,3866
766.1,"Friday, 8 March 2019",1,10,Payment - Credit Expenses,0,3796
767.1,"Friday, 8 March 2019",1,10,Payment - Credit Expenses,0,3987
768.1,"Saturday, 9 March 2019",1,10,Payment - Credit Expenses,0,3701
773.1,"Tuesday, 12 March 2019",1,10,Payment - Credit Expenses,0,3967
782.1,"Sunday, 17 March 2019",1,10,Payment - Credit Expenses,0,4554
784.1,"Monday, 18 March 2019",1,10,Payment - Credit Expenses,0,4422
788.1,"Friday, 22 March 2019",1,10,Payment - Credit Expenses,0,3661
809.1,"Tuesday, 2 April 2019",1,10,Payment - Credit Expenses,0,4414
811.1,"Thursday, 4 April 2019",1,10,Payment - Credit Expenses,0,3775
817.1,"Saturday, 6 April 2019",1,10,Payment - Credit Expenses,0,4911
818.1,"Monday, 8 April 2019",1,10,Payment - Credit Expenses,0,4734
820.1,"Tuesday, 9 April 2019",1,10,Payment - Credit Expenses,0,3845
832.1,"Wednesday, 17 April 2019",1,10,Payment - Credit Expenses,0,4144
838.1,"Monday, 22 April 2019",1,10,Payment - Credit Expenses,0,3999
840.1,"Monday, 22 April 2019",1,10,Payment - Credit Expenses,0,5031
843.1,"Wednesday, 24 April 2019",1,10,Payment - Credit Expenses,0,4890
851.1,"Monday, 29 April 2019",1,10,Payment - Credit Expenses,0,3509
857.1,"Tuesday, 30 April 2019",1,10,Payment - Credit Expenses,0,4527
864.1,"Saturday, 4 May 2019",1,10,Payment - Credit Expenses,0,3934
865.1,"Saturday, 4 May 2019",1,10,Payment - Credit Expenses,0,4909
874.1,"Monday, 6 May 2019",1,10,Payment - Credit Expenses,0,5247
